State,County,Year,Volume,Count
Texas,Glasscock,2012,6704086,8
Texas,Glasscock,2012,6875400,8
Texas,Glasscock,2014,84759276,8
Texas,Glasscock,2015,39930660,8
Texas,Glasscock,2017,159941250,8
Texas,Glasscock,2018,202642524,8
Texas,Glasscock,2018,156999654,8
Texas,Glasscock,2019,200152932,8
Texas,Howard,2013,6978636,8
Texas,Howard,2014,16372440,8
Texas,Howard,2017,116211480,8
Texas,Howard,2018,155854776,8
Texas,Howard,2018,88692576,8
New Mexico,Lea,2005,1027990,8
New Mexico,Lea,2006,394685,8
New Mexico,Lea,2006,427689,8
New Mexico,Lea,2008,2595441,8
New Mexico,Lea,2009,3736970,8
New Mexico,Lea,2012,8248314,8
New Mexico,Lea,2013,5986109,8
Texas,Loving,2014,46945962,8
Texas,Loving,2015,56139258,8
Texas,Loving,2016,99831018,8
Texas,Loving,2017,69895140,8
Texas,Loving,2018,66612420,8
Texas,Loving,2019,132327342,8
Texas,Martin,2014,42578702,8
Texas,Martin,2015,92839572,8
Texas,Martin,2016,67542636,8
Texas,Martin,2017,92517306,8
Texas,Martin,2018,144048366,8
Texas,Martin,2019,154677054,8
Texas,Midland,2010,8473662.4,8
Texas,Midland,2011,10064755.6,8
Texas,Midland,2012,6028940,8
Texas,Midland,2012,5278872,8
Texas,Midland,2012,11068218,8
Texas,Midland,2013,6388505,8
Texas,Midland,2013,6147598,8
Texas,Midland,2013,21292866,8
Texas,Midland,2014,6772831,8
Texas,Midland,2014,10060134,8
Texas,Midland,2014,50836590,8
Texas,Midland,2015,86525208,8
Texas,Midland,2015,15819930,8
Texas,Midland,2016,35170002,8
Texas,Midland,2017,126325999,8
Texas,Midland,2017,188145090,8
Texas,Midland,2017,107723196,8
Texas,Midland,2017,113773296,8
Texas,Midland,2018,83461214,8
Texas,Midland,2018,176148462,8
Texas,Midland,2018,179533620,8
Texas,Midland,2018,152990754,8
Texas,Midland,2018,183739584,8
Texas,Midland,2018,106581468,8
Texas,Midland,2018,193869984,8
Texas,Midland,2018,131437530,8
Texas,Midland,2018,150103464,8
Texas,Midland,2018,166884648,8
Texas,Midland,2018,83500494,8
Texas,Midland,2018,114450420,8
Texas,Midland,2019,148440054,8
Texas,Midland,2019,198842994,8
Texas,Midland,2019,129745980,8
Texas,Midland,2019,156406404,8
Texas,Midland,2019,162460662,8
Texas,Mitchell,2000,419794,8
Texas,Mitchell,2001,106400,8
Texas,Mitchell,2006,131513.8,8
Texas,Mitchell,2007,1458648,8
Texas,Mitchell,2007,152500,8
Texas,Mitchell,2008,141300,8
Texas,Mitchell,2008,210190,8
Texas,Mitchell,2010,275986,8
Texas,Mitchell,2012,347154,8
Texas,Mitchell,2012,303821,8
Texas,Mitchell,2012,215342,8
Texas,Mitchell,2012,257338,8
Texas,Mitchell,2013,436438,8
Texas,Mitchell,2013,389900,8
Texas,Pecos,2005,80000,8
Texas,Pecos,2007,6859363.8,8
Texas,Pecos,2008,1979124,8
Texas,Pecos,2008,1983324,8
Texas,Pecos,2008,2169258,8
Texas,Pecos,2008,964530,8
Texas,Pecos,2008,1711752,8
